"CODIGO";"DIGITO";"DESCRICAO";"NIVEL_1";"NIVEL_2";"NIVEL_3";"EMBALAGEM_FORNECEDOR";"EMBALAGEM_COMPRA";"CONVERSAO_COMPRA_ARMAZENAGEM";"UNIDADE_ESTOQUE";"EMBALAGEM_VENDA_0";"EMBALAGEM_VENDA_1";"EMBALAGEM_VENDA_2";"CD_VOLTAGEM"
"407584";"6";"PORTA-TALHER PLS S/TAMPA BR      826";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDI - PORTA TUDO COZINHA - PLASTICOS";"CX-24-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"407852";"7";"ESPREM.FRUTAS  30W      E-02 PT M220";"D - ELETROS";"DE - ELETROPORTATEIS PARA COZINHA";"DEG - CENTRIFUGAS E ESPREMEDORES DE FRUTAS";"CX-6-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"407871";"3";"CHURRASQUEIRA ELET.1800W  CH-06 M220";"D - ELETROS";"DE - ELETROPORTATEIS PARA COZINHA";"DEH - CHURRASQUEIRAS ELETRICAS";"CX-3-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";" ";" ";"2"
"408313";"0";"CER.A 20X20 UNO FOLD MATTE P2 1,18M2";"C - PISOS E REVESTIMENTOS";"CA - CERAMICOS E PORCELANATOS";"CAF - AZULEJOS";"PL-94,4-M2";"M2-1-M2";"1,000000";"M2";"M2-1-M2";"EB-100-M2";"EB-300-M2";"0"
"408614";"7";"ARAND.AL.UNO RSE            1LP 3118";"I - ILUMINACAO";"IB - RESIDENCIAL";"IBD - ARANDELAS RESIDENCIAIS";"CX-4-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"408617";"1";"ARAND.AL.UNO GLD            1LP 3118";"I - ILUMINACAO";"IB - RESIDENCIAL";"IBD - ARANDELAS RESIDENCIAIS";"CX-4-UN";"UN-1-UN";"1,000000";"UN";"UN-1-UN";"EB-5-UN";"EB-25-UN";"0"
"408772";"0";"ORGANIZADOR PRATOS 2 PRAT.   PT 0031";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDP - ORGANIZADORES DE COZINHA";"CX-6-UN";"CX-1-CX";"6,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"408800";"0";"ORGANIZADOR 42X20 P/ARMARIO     0078";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDP - ORGANIZADORES DE COZINHA";"CX-12-UN";"CX-1-CX";"12,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"408802";"6";"ORGANIZADOR 22X20 P/ARMARIO    0080";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDP - ORGANIZADORES DE COZINHA";"CX-12-UN";"CX-1-CX";"12,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
"408815";"8";"SUPORTE ORG.PRATOS           PT 0084";"B - UTILIDADES DOMESTICAS";"BD - ORGANIZAR";"BDP - ORGANIZADORES DE COZINHA";"CX-12-UN";"CX-1-CX";"12,000000";"UN";"UN-1-UN";"EB-10-UN";"EB-50-UN";"0"
