CODIGO,correlacao_preco_volume,n_obs,DESCRICAO,NIVEL_1,receita_total
439683,-0.5069893984416225,153.0,ASSENTO SNT PLS OVAL UNIVERSAL    BR,U - METAIS E ACESSORIOS,628538.3457198434
464235,-0.5066766655318811,71.0,TOALHA RST VERONA             GF 350,"K - CAMA, MESA E BANHO",6703.515
410914,-0.5064776556123688,197.0,ORGANIZADOR 32X20 P/ARMARIO     0022,B - UTILIDADES DOMESTICAS,100621.92
453196,-0.5056861536482178,52.0,ADEGA 0.90X0.80 6 GARRAFAS       OFF,O - MOVEIS,61930.784999999996
447370,-0.502899398720075,18.0,BALCAO COZ.0.80 1P/1G      GRF001532,O - MOVEIS,19690.44
477307,-0.502391509357705,26.0,PANO AMER.RED.38CM        LGAM049,B - UTILIDADES DOMESTICAS,17308.725
421738,-0.5019171921839273,110.0,PRATO RASO CER.26CM SICILIANO  92954,B - UTILIDADES DOMESTICAS,22869.81375
399366,-0.5017778675827307,202.0,PAPELEIRA SUSPENSA 2ROLOS BR    0077,U - METAIS E ACESSORIOS,419116.1937542122
429408,-0.4968844952716905,104.0,FRIGIDEIRA ANTIAD.22CM FRANCESA 5180,B - UTILIDADES DOMESTICAS,50658.5415
457699,-0.4962819686288171,90.0,TOALHA BNH LUMINA IVORY/MR   3674976,"K - CAMA, MESA E BANHO",52851.12
419718,-0.49610999923073473,55.0,FORNO MICR.34L 1500W MEO44   BR M220,D - ELETROS,304538.24100000004
463699,-0.49516141337108904,12.0,BANDEJA SERVIR MDF42X32        74336,B - UTILIDADES DOMESTICAS,3546.4905000000003
429459,-0.49458889145562546,207.0,INT.SPL CJ.1S 10A         LGZ010 POP,E - MATERIAIS ELETRICOS,502701.8486448341
488241,-0.4929577865039716,69.0,PRATELEIRA 0.45X0.10 MDF/ACO  DO/MAD,O - MOVEIS,34321.231
483693,-0.49221579577487434,53.0,LENCOL JG QUEEN DPL 150F     BG 7810,"K - CAMA, MESA E BANHO",21893.025
451891,-0.4919263997331058,24.0,"ENFEITE ARV.URSO 9,0CM       NAT0169",T - ARTIGOS DE EPOCA,38893.951250000006
463432,-0.49019720167412634,153.0,CUSCUZEIRA ANTIAD.16CM      VM 13185,B - UTILIDADES DOMESTICAS,300813.80700000003
447870,-0.4901294524894134,65.0,PRATO FUNDO PORC.23CM RUSTICO VD 005,B - UTILIDADES DOMESTICAS,29367.051
