COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
7,133332,1.0,1.0,0.0013698630136986301,730.0,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Natal,RN
8,133332,1.0,2.0,0.0027397260273972603,365.0,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Caruaru,PE
9,133332,0.0,0.0,0.0,,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Salvador,BA
92,133332,2.0,0.0,0.0,,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Cabo De Santo Agostinho,PE
93,133332,1.0,2.0,0.0027397260273972603,365.0,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,Alhandra,PB
1,138854,0.0,0.0,0.0,,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Garanhuns,PE
2,138854,2.0,6.0,0.00821917808219178,243.33333333333337,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Recife,PE
3,138854,1.0,2.0,0.0027397260273972603,365.0,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Salvador,BA
4,138854,1.0,2.0,0.0027397260273972603,365.0,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Recife,PE
5,138854,0.0,2.0,0.0027397260273972603,0.0,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Aracaju,SE
6,138854,1.0,3.0,0.00410958904109589,243.33333333333337,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Joao Pessoa,PB
7,138854,1.0,0.0,0.0,,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Natal,RN
8,138854,0.0,1.0,0.0013698630136986301,0.0,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Caruaru,PE
9,138854,0.0,0.0,0.0,,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Salvador,BA
92,138854,0.0,0.0,0.0,,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Cabo De Santo Agostinho,PE
93,138854,1.0,0.0,0.0,,FRITADOR AGUA/OLEO GAS   26L FAOAP30,N - INDUSTRIAL E NEGOCIOS,Alhandra,PB
1,141870,3.0,9.0,0.012328767123287671,243.33333333333334,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Garanhuns,PE
2,141870,0.0,49.0,0.06712328767123288,0.0,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Recife,PE
3,141870,1.0,29.0,0.03972602739726028,25.172413793103445,LIXEIRA PLS      50.0L SELET. CZ 757,N - INDUSTRIAL E NEGOCIOS,Salvador,BA
