COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
7,469022,0.0,48.0,0.06575342465753424,0.0,POTE MANTIMENTO VID. 500ML     29183,B - UTILIDADES DOMESTICAS,Natal,RN
9,469022,0.0,59.0,0.08082191780821918,0.0,POTE MANTIMENTO VID. 500ML     29183,B - UTILIDADES DOMESTICAS,Salvador,BA
3,469103,0.0,95.0,0.13013698630136986,0.0,TAPETE ENTR. 060X090 KILIM      SORT,V - DECORACAO,Salvador,BA
4,469103,0.0,100.0,0.136986301369863,0.0,TAPETE ENTR. 060X090 KILIM      SORT,V - DECORACAO,Recife,PE
6,469103,0.0,91.0,0.12465753424657534,0.0,TAPETE ENTR. 060X090 KILIM      SORT,V - DECORACAO,Joao Pessoa,PB
9,469103,0.0,61.0,0.08356164383561644,0.0,TAPETE ENTR. 060X090 KILIM      SORT,V - DECORACAO,Salvador,BA
1,469231,0.0,72.0,0.09863013698630137,0.0,GARRAFA AGUA VID.1.0L C/T      26621,B - UTILIDADES DOMESTICAS,Garanhuns,PE
2,469231,0.0,392.0,0.536986301369863,0.0,GARRAFA AGUA VID.1.0L C/T      26621,B - UTILIDADES DOMESTICAS,Recife,PE
3,469231,0.0,435.0,0.5958904109589042,0.0,GARRAFA AGUA VID.1.0L C/T      26621,B - UTILIDADES DOMESTICAS,Salvador,BA
4,469231,0.0,434.0,0.5945205479452055,0.0,GARRAFA AGUA VID.1.0L C/T      26621,B - UTILIDADES DOMESTICAS,Recife,PE
93,468884,0.0,877.0,1.2013698630136986,0.0,ARMARIO AEREO 1.20 3P        FR/OFF,O - MOVEIS,Alhandra,PB
2,468856,0.0,365.0,0.5,0.0,SILICONE ACETICO BR CASCOLA     280G,S - TINTAS E QUIMICOS,Recife,PE
4,468856,0.0,203.0,0.27808219178082194,0.0,SILICONE ACETICO BR CASCOLA     280G,S - TINTAS E QUIMICOS,Recife,PE
6,468856,0.0,131.0,0.17945205479452056,0.0,SILICONE ACETICO BR CASCOLA     280G,S - TINTAS E QUIMICOS,Joao Pessoa,PB
7,468856,0.0,69.0,0.09452054794520548,0.0,SILICONE ACETICO BR CASCOLA     280G,S - TINTAS E QUIMICOS,Natal,RN
9,468856,0.0,63.0,0.0863013698630137,0.0,SILICONE ACETICO BR CASCOLA     280G,S - TINTAS E QUIMICOS,Salvador,BA
2,468857,0.0,193.0,0.26438356164383564,0.0,SILICONE ACETICO TR CASCOLA     280G,S - TINTAS E QUIMICOS,Recife,PE
4,468857,0.0,273.0,0.37397260273972605,0.0,SILICONE ACETICO TR CASCOLA     280G,S - TINTAS E QUIMICOS,Recife,PE
6,468857,0.0,155.0,0.21232876712328766,0.0,SILICONE ACETICO TR CASCOLA     280G,S - TINTAS E QUIMICOS,Joao Pessoa,PB
7,468857,0.0,86.0,0.1178082191780822,0.0,SILICONE ACETICO TR CASCOLA     280G,S - TINTAS E QUIMICOS,Natal,RN
9,468857,0.0,150.0,0.2054794520547945,0.0,SILICONE ACETICO TR CASCOLA     280G,S - TINTAS E QUIMICOS,Salvador,BA
3,467899,0.0,88.0,0.12054794520547946,0.0,COLCHA SOLTE+P.TRAV 2PC MILAO SORT.7,"K - CAMA, MESA E BANHO",Salvador,BA
93,468885,0.0,56.0,0.07671232876712329,0.0,BALCAO MULT C/FRUT 1.04X0.95  FR/OFF,O - MOVEIS,Alhandra,PB
