CODIGO,DESCRICAO,NIVEL_1,estoque_parado_total,lojas_com_estoque_parado,receita,qtd_vendida
428355,MAO FRANCESA ACO 28CM FORTE       PT,Q - BASICOS CONSTRUCAO,19.0,1,42544.005,3469.0
429650,MULTIPROCESSAROR 1000W   MPR870 M127,D - ELETROS,19.0,3,11802.945000000002,20.0
90240,TUBO COBR HIDR.CLAS.E 5M 35MM 3.36KG,H - TUBOS E CONEXOES,18.0,6,4347.525,5.0
407871,CHURRASQUEIRA ELET.1800W  CH-06 M220,D - ELETROS,18.0,2,43002.645,137.0
463965,CABECEIRA CASAL GRÉCIA           OFF,O - MOVEIS,18.0,3,34338.675,29.0
260273,"TINT.ESM.DIAL.B.AGUA BR 0,9L   PRETO",S - TINTAS E QUIMICOS,18.0,1,87464.6535,2409.0
463806,SANDUICH.ELET.GRILL    SN-01 PT M220,D - ELETROS,18.0,1,94899.7245,710.0
418662,CUBA KIT      KL.73.2.17        BR17,W - LOUCAS E PIAS,18.0,5,14061.6,18.0
41038,TANQUE S/FIXACAO 65X56 GG  5126 BR01,W - LOUCAS E PIAS,18.0,5,56213.01,56.0
471607,SABONET.BANC.CER.RED.       TC 19TRC,U - METAIS E ACESSORIOS,18.0,1,8037.855,179.0
289335,PORTA PVC SANF.090X210 EASY LOCK  BR,"G - PORTAS, JANELAS E FECHADURAS",18.0,3,32238.885,155.0
215398,SIRENE ALCANCE 3000MTS     FLEX M220,E - MATERIAIS ELETRICOS,18.0,6,30713.865,46.0
196875,LAVAD.PRESSAO 1740L PLUS K3.30M M220,M - MAQUINAS E MOTORES,18.0,8,30623.04,16.0
424124,"TINT.ACR.SELA.PINTA FC 18,0L BR.GELO",S - TINTAS E QUIMICOS,18.0,3,74624.13,221.0
472394,XICARA CAFE PORC.75ML C/P 6PC  03328,B - UTILIDADES DOMESTICAS,18.0,2,1349.775,25.0
318250,LAVAD.PRESSAO 1800L       BRAVO M220,M - MAQUINAS E MOTORES,18.0,4,20038.095,17.0
430297,BALCAO COZ.1.20 1P/4G  FRJ/GRF 500343,O - MOVEIS,18.0,6,124142.0775,94.0
460843,TEXTURA GRAFIAT.RISC.PLS  5KG  M.MAR,S - TINTAS E QUIMICOS,18.0,5,3008.7750000000005,45.0
462744,DEPURAD.6B 90CM TOUCH  DV91T PT M127,D - ELETROS,17.0,2,30334.08,24.0
79349,CX.P/ACOPLAR SAVEIRO 6LT   1357 PR77,W - LOUCAS E PIAS,17.0,5,26965.155,102.0
400439,BACIA KIT COMPL. STUDIO KIDS      BR,W - LOUCAS E PIAS,17.0,6,22821.75,19.0
399843,CUBA KIT COMPLETO              Q1 BR,W - LOUCAS E PIAS,17.0,6,11848.83,14.0
458827,PASSADEIRA 45X140 C/FRANJA       MUS,V - DECORACAO,17.0,2,16928.100000000002,360.0
289338,PORTA PVC SANF.080X210 EASY LOCK  BG,"G - PORTAS, JANELAS E FECHADURAS",17.0,4,12380.97,65.0
337909,"CORAL.LOC DECORA    FC 16,0L BASE MF",S - TINTAS E QUIMICOS,17.0,1,595538.35425,846.0
438179,MESA ESCR 1.20X0.76 1G 1P         CH,O - MOVEIS,17.0,2,140834.82,495.0
465336,ALMOFADA 40X40  AUTH. ESFERA  495126,V - DECORACAO,17.0,2,9443.49,242.0
466711,P.ESCOVA ACR.C/T           AZ PEC700,U - METAIS E ACESSORIOS,17.0,2,9236.115,377.0
429408,FRIGIDEIRA ANTIAD.22CM FRANCESA 5180,B - UTILIDADES DOMESTICAS,17.0,2,50658.5415,607.0
463934,FRIGOBAR 93L MRC10B1         BR M127,D - ELETROS,17.0,1,106768.8405,74.0
463061,COOKTOP 4B ELET. VITR  73476 PT M220,D - ELETROS,17.0,4,116618.4915,49.0
460518,PORTA-SACHE VID.6CM             1175,B - UTILIDADES DOMESTICAS,17.0,1,7187.5650000000005,497.0
445584,PORTA-COPO CORTICA 10CM 2PC    27599,B - UTILIDADES DOMESTICAS,17.0,2,9946.1145,277.0
465260,TOALHA MESA 140X210 CHARLOTTE  28798,"K - CAMA, MESA E BANHO",17.0,3,13047.825,95.0
465330,ALMOFADA 40X40  AUTH. MAOS   495116,V - DECORACAO,17.0,1,8050.98,214.0
207278,ROCADEIRA GAS.FS290 300MM    2000047,M - MAQUINAS E MOTORES,17.0,7,86584.2495,20.0
470178,LAV.ROUPA 13.0KG BWK13A9     PR M220,D - ELETROS,17.0,3,460041.435,191.0
133332,FORNO INDL.AVULSO        EXTRA   F6I,N - INDUSTRIAL E NEGOCIOS,16.0,7,27517.98,31.0
389065,LUSTRE PALHA COROA         VP 480464,I - ILUMINACAO,16.0,6,18644.22,64.0
432295,GAB BANH KIT HORT 46X55      CAFE/BR,O - MOVEIS,16.0,2,127040.55,251.0
