CODIGO,preco_medio,preco_desvio,preco_min,preco_max,qtd_lojas,amplitude_pct,cv_pct,DESCRICAO,NIVEL_1,receita_total
278467,3102.1677272727275,158.2934559033259,2624.895,3149.895,11,16.92,5.1,LIQUID.INDL  25L 1HP     LB25MB M220,N - INDUSTRIAL E NEGOCIOS,124470.46500000001
289334,187.48227272727274,11.761440252714872,167.895,199.395,11,16.8,6.27,PORTA PVC SANF.080X210 EASY LOCK  BR,"G - PORTAS, JANELAS E FECHADURAS",41664.630000000005
461883,853.44,56.90455601267791,817.95,960.645,11,16.72,6.67,FORNO MICR.21L 700W ST25LWR  BR M127,D - ELETROS,69727.2555
417907,88.305,5.6111669909208715,82.845,97.545,11,16.65,6.35,PORTA-SHAMPOO DUPLO PT         0006,U - METAIS E ACESSORIOS,99051.89700000001
446536,37.905,1.6266530054071138,34.545,40.845,10,16.62,4.29,"CER.A 54X54 PIEDRAS MRE HD P4 2,62M2",C - PISOS E REVESTIMENTOS,277661.29104000004
300761,190.0395,16.253002876391797,177.45,208.95,10,16.58,8.55,DUCHA OPTIMA          6800W 549 M220,U - METAIS E ACESSORIOS,782007.9231045455
451504,569.9495454545454,25.609904866530222,504.945,599.445,11,16.58,4.49,MESA SALA 1.30X0.78 AURORA    NT/OFF,O - MOVEIS,356474.181
483605,57.06166666666666,3.6791643072850113,52.395,61.845,9,16.56,6.45,"CER.A 60X60 FORUM EXT RT      2,12M2",C - PISOS E REVESTIMENTOS,174341.70012
427510,38.22,2.6308268662152585,34.545,40.845,10,16.48,6.88,"CER.A 54X54 LAND GRIS CL HDP4 2,62M2",C - PISOS E REVESTIMENTOS,67900.085715
431268,70.24499999999999,5.214882549012972,62.895,74.445,10,16.44,7.42,"REVEST.A 10X20 BRK20050       2,00M2",C - PISOS E REVESTIMENTOS,43152.69
249007,230.22681818181817,11.965142555090454,218.295,256.095,11,16.42,5.2,FECH.EX RM IXP 900/882        VICTO.,"G - PORTAS, JANELAS E FECHADURAS",450924.1485
466422,128.01833333333332,5.808497546698284,115.395,136.395,9,16.4,4.54,"PORCEL.A 19X90 ESM.KHAL.WH EXT1,54M2",C - PISOS E REVESTIMENTOS,131385.4542
341155,321.95863636363634,15.574660364019046,314.895,367.395,11,16.31,4.84,TORNEIRA PIA PARE.CR B.MOV. C21 1168,U - METAIS E ACESSORIOS,202096.545
431549,1223.6222727272727,80.70172353685008,1060.395,1259.895,11,16.3,6.6,BELICHE MDF 1.54X1.93 KIT C/PE    GR,O - MOVEIS,108400.21500000001
473732,64.42227272727273,3.5253626505909716,62.895,73.395,11,16.3,5.47,POTE VID.HERME.RET.03PC         8722,B - UTILIDADES DOMESTICAS,111558.94235802139
167481,528.5604545454545,28.67709185522004,492.45,578.445,11,16.27,5.43,BACIA SNT.FIT             66303 BR01,W - LOUCAS E PIAS,44155.545
439244,355.3677272727273,18.60227625367879,331.695,389.445,11,16.25,5.23,LIQUID.5V 1200W    RI2240/90 PT M220,D - ELETROS,147078.5085
