CODIGO,DESCRICAO,NIVEL_1,qtd_vendida,receita,qtd_transacoes,lojas_distintas
463808,CAFET.ELET.18 XIC.  C-30-18X PT M220,D - ELETROS,570.0,81478.95000000001,344,7
333146,FERRO PASSAR VAP. VIAGEM 777 VD MBIV,D - ELETROS,413.0,81459.21,359,9
356982,"REVEST.A 30X90 CUBIC WHITE AC 1,62M2",C - PISOS E REVESTIMENTOS,649.62,81147.56580000001,101,9
427984,MAO FRANCESA ACO 18CM FORTE       BR,Q - BASICOS CONSTRUCAO,8810.0,81124.44375,1626,9
474538,TOALHA BNH JACQUARD TRENTO        TP,"K - CAMA, MESA E BANHO",1443.0,81070.6995,781,9
374664,PERSIANA ROLO 140X170  ZEBRA BR B102,V - DECORACAO,283.0,80878.14,206,9
446654,"PORCEL.A 19X90ESM.SEQUO.ME.EXT1,03M2",C - PISOS E REVESTIMENTOS,687.01,80719.80735,63,7
480258,FITA LED 5M  IP20 10W/M  AM IR70 12V,I - ILUMINACAO,453.0,80595.06,203,7
311139,LIXEIRA ESCR.ACO 16.5L    PT OR98410,B - UTILIDADES DOMESTICAS,937.0,80499.96500000001,515,9
463568,"CER.A 20X120 ILHEUS CANELA EXT1,66M2",C - PISOS E REVESTIMENTOS,851.5799999999999,80489.35209,57,4
457700,TOALHA BNH LUMINA PT/CZ      3675132,"K - CAMA, MESA E BANHO",1065.0,80473.71500000001,623,9
436806,LIXEIRA PDL/BD IX 5.0L      3040/002,B - UTILIDADES DOMESTICAS,564.0,80376.91200000001,394,9
419816,TORNEIRA PIA COZ. HYDRAMOT. 1167  VM,U - METAIS E ACESSORIOS,1535.0,80220.0,267,9
343153,EXAUSTOR AMB.BANH.EXB 150MM  BR M127,D - ELETROS,452.0,80195.43,249,4
484896,CORTINA 200X160 RUSTICA POLI     CRU,V - DECORACAO,1087.0,80147.8405,551,9
264191,"LIQUID.INDL 8,0L 1/2HP  LS08MBN M220",N - INDUSTRIAL E NEGOCIOS,57.0,80112.32250000001,54,8
470119,GARRAFA TERM.1L ROLHA        PT 0105,B - UTILIDADES DOMESTICAS,2622.0,80001.762,1204,8
468898,TOALHA BNH LUMINA          IVORY 112,"K - CAMA, MESA E BANHO",1075.0,79641.1,589,9
459751,COOKTOP 2B ELET. VITR  73474 PT 220V,D - ELETROS,52.0,79370.7705,52,9
453176,PROTETOR COLCHAO KING BR 16706603001,"K - CAMA, MESA E BANHO",447.0,79092.09,391,9
479621,"REVEST.A 7X26 KHALI GRAFIT.MES1,01M2",C - PISOS E REVESTIMENTOS,644.38,79082.1213,80,5
475299,ALMOFADA 40X40 FUTTON        FUTT-60,V - DECORACAO,1854.0,78941.261,684,9
450661,NICHO HEXAGONAL 45X10X40    PINUS/BR,O - MOVEIS,1025.0,78815.1,672,9
476329,PORTA-SHAMPOO C/ADESIVO       PT 279,U - METAIS E ACESSORIOS,743.0,78543.57,579,9
467403,SERRA CIRC.BANC.10 1800W SST1801 127,M - MAQUINAS E MOTORES,41.0,78457.6485,40,3
124475,CUBA IX SOB.AC.50X40 RET.C/V94025102,W - LOUCAS E PIAS,71.0,78444.975,65,8
467349,ARARA ROUPEIRO MET. 1.58     PT 0012,O - MOVEIS,603.0,78388.9155,434,9
481418,PANELA JG ANTIAD.5PC   VM 9195306763,B - UTILIDADES DOMESTICAS,303.0,78228.29699999999,245,9
466908,LENCOL JG SOLTE DPL ATTUALE   SORT 3,"K - CAMA, MESA E BANHO",581.0,78097.74,406,9
453054,SOFA 2L 1.90 LINHO            BG 275,O - MOVEIS,24.0,78017.31,23,8
466386,"REVEST.A 7X26 ANGRA OCEAN MT  1,07M2",C - PISOS E REVESTIMENTOS,594.92,77873.99812500001,95,5
467991,TAPETE ENTR. 050X070   RELAX   SORT1,V - DECORACAO,1500.0,77871.339,909,9
289333,PORTA PVC SANF.070X210 EASY LOCK  BR,"G - PORTAS, JANELAS E FECHADURAS",460.0,77713.02,355,9
483050,"PORCEL.C 74X74 ESM.MONT BLA.AC1,62M2",C - PISOS E REVESTIMENTOS,1192.32,77680.24740000001,56,3
371143,LIQUID.15V 1000W        LN54 VM M220,D - ELETROS,269.0,77678.9055,225,6
466125,CADEIRA POLIP VANDA               VD,O - MOVEIS,575.0,77555.1735,176,9
405771,PISO FELP.ROYAL 45X70        BG 7110,"K - CAMA, MESA E BANHO",3514.0,77443.8,1490,9
102242,RESIST.DUCH.GOR.4T  5700W       M220,U - METAIS E ACESSORIOS,2264.0,77391.825,1057,9
456172,FRIGIDEIRA ANTIAD. 30 C/T  PT 051893,B - UTILIDADES DOMESTICAS,490.0,77271.432,426,9
476718,TOALHA BNH VANILLA           BG 3214,"K - CAMA, MESA E BANHO",1235.0,77182.455,580,9
320338,SUQUEIRA CRISTAL 2.0L TORN/PE   3793,B - UTILIDADES DOMESTICAS,554.0,76957.4085,353,9
479999,FRIGIDEIRA ANTIAD.03PC     VM 025337,B - UTILIDADES DOMESTICAS,1215.0,76950.678,533,9
441072,"CER.A 10X10 BON.AC HD10080 P4 1,44M2",C - PISOS E REVESTIMENTOS,1009.44,76850.03088,69,8
451906,COND.SPLIT 18000 COND ATUW18 INV.106,D - ELETROS,15.0,76849.668,14,2
