CODIGO,DESCRICAO,NIVEL_1,demanda_projetada_2026,vendido_24_meses,venda_media_anual_historica,crescimento_pct_vs_media_historica,venda_media_diaria_2026,estoque_seguranca_30d,estoque_inicial_total_referencia,sugestao_compra_2026
367905,COOKTOP 5B GAS VID.     6985 PT MBIV,D - ELETROS,220.1309045985271,1193.0,596.5,-63.1,0.603098368763088,18.092951062892638,249.0,238.0
450705,TACA AGUA/VINHO VID. 650ML      3133,B - UTILIDADES DOMESTICAS,219.82814719740574,711.0,355.5,-38.2,0.6022688964312486,18.06806689293746,863.0,238.0
486270,PORTA-GUARDANAPO IX        PT A67082,B - UTILIDADES DOMESTICAS,219.1838519521461,381.0,190.5,15.1,0.6005037039784825,18.015111119354476,0.0,237.0
475557,TOALHA RST SOLARE             PT 900,"K - CAMA, MESA E BANHO",218.26292699244394,2138.0,1069.0,-79.6,0.5979806218971067,17.9394186569132,0.0,236.0
466386,"REVEST.A 7X26 ANGRA OCEAN MT  1,07M2",C - PISOS E REVESTIMENTOS,217.7875292400466,594.92,297.46,-26.8,0.5966781623014975,17.900344869044925,334.91,236.0
432628,"FRITAD.ELET 4,2L ULTRA TOUCH MF M220",D - ELETROS,216.63553614995575,750.0,375.0,-42.2,0.5935220168491938,17.805660505475814,0.0,234.0
311863,VENT.MES.20CM MINI CLIP BR 3247 M127,D - ELETROS,216.4978728285728,275.0,137.5,57.5,0.5931448570645831,17.794345711937492,1.0,234.0
467065,TOALHA BANHAO CAPRI AZUL ENCANT.2476,"K - CAMA, MESA E BANHO",216.18057921435553,529.0,264.5,-18.3,0.592275559491385,17.76826678474155,96.0,234.0
458288,TRILHO LED KIT 3 SPOT AM  9W BR MBIV,I - ILUMINACAO,215.78654908462195,431.0,215.5,0.1,0.5911960248893752,17.735880746681254,99.0,234.0
460283,LAV.ROUPA 17KG BWK17ABANA  BR M220V,D - ELETROS,213.49208803127289,316.0,158.0,35.1,0.5849098302226654,17.547294906679962,4.0,231.0
475081,FRIGIDEIRA ANTIAD.22CM   AM 7232/355,B - UTILIDADES DOMESTICAS,212.4669513780936,512.0,256.0,-17.0,0.5821012366523112,17.463037099569334,0.0,230.0
328584,MARTELETE ROT/ROMP. 830W HR2630J 220,F - FERRAMENTAS,212.07720070382572,217.0,108.5,95.5,0.5810334265858239,17.431002797574717,23.0,230.0
467871,PISO FELP. BELIZE RS            1997,"K - CAMA, MESA E BANHO",211.6268440328536,384.0,192.0,10.2,0.5797995726927496,17.39398718078249,103.0,229.0
311864,VENT.MES.20CM MINI CLIP BR 3254 M220,D - ELETROS,211.30194413752355,359.0,179.5,17.7,0.5789094359932152,17.367283079796458,22.0,229.0
429486,TOM.MOD.TV                 LG060 POP,E - MATERIAIS ELETRICOS,211.14958396555906,299.0,149.5,41.2,0.5784920108645454,17.35476032593636,166.0,229.0
452184,REPARO P/TORNEIRA MARUJA          BR,U - METAIS E ACESSORIOS,210.85161555591398,1378.0,689.0,-69.4,0.5776756590572986,17.330269771718957,153.0,228.0
479556,"PORCEL.A 26X106 ESM.AVE.BG SAT2,00M2",C - PISOS E REVESTIMENTOS,210.5155952294444,2154.0,1077.0,-80.5,0.5767550554231353,17.30265166269406,0.0,228.0
478047,MESA LAT 0.76X0.66 CLASSIC    OFF/NT,O - MOVEIS,210.3839750183148,287.0,143.5,46.6,0.5763944521049721,17.29183356314916,0.0,228.0
446334,BASE MONOC.CHUVEIRO BX/AL PRES 1/2CO,U - METAIS E ACESSORIOS,209.27017492293794,202.0,101.0,107.2,0.5733429449943506,17.200288349830515,18.0,226.0
485637,"PORCEL.C 74X74 ESM.KHAL.WH EXT1,62M2",C - PISOS E REVESTIMENTOS,207.1344176880414,889.38,444.69,-53.4,0.5674915553097024,17.024746659291072,0.0,224.0
421229,PORTA-SHAMPOO DUPLO BR          0001,U - METAIS E ACESSORIOS,206.40867761699064,1126.0,563.0,-63.3,0.5655032263479196,16.96509679043759,35.0,223.0
477307,PANO AMER.RED.38CM        LGAM049,B - UTILIDADES DOMESTICAS,206.2938783389277,657.0,328.5,-37.2,0.5651887077778841,16.955661233336524,0.0,223.0
423007,TACA GIN CRISTAL 600ML          5170,B - UTILIDADES DOMESTICAS,204.61094164250943,343.0,171.5,19.3,0.560577922308245,16.81733766924735,94.0,221.0
466432,"REVEST.A 30X90 ARGOS MARFIM MT1,62M2",C - PISOS E REVESTIMENTOS,204.00257712809335,392.04,196.02,4.1,0.5589111702139544,16.76733510641863,464.94,221.0
457639,SPOT LED TRILHO BR  12W      AM MBIV,I - ILUMINACAO,201.27688078380064,474.0,237.0,-15.1,0.551443508996714,16.54330526990142,30.0,218.0
408816,ORGANIZADOR TAMPA COZ.       PT 0085,B - UTILIDADES DOMESTICAS,200.58897691442712,1004.0,502.0,-60.0,0.5495588408614441,16.486765225843325,82.0,217.0
446296,"PORCEL.A 90X90 ESM.ARGOS AN.AC1,60M2",C - PISOS E REVESTIMENTOS,199.09583924092928,492.8,246.4,-19.2,0.5454680527148748,16.364041581446244,638.4000000000001,215.0
474606,PISO ANTID. BASIC 50X70      VD 1359,"K - CAMA, MESA E BANHO",196.60988074684852,525.0,262.5,-25.1,0.5386572075256124,16.15971622576837,0.0,213.0
473520,"PORCEL.A 60X120 EPO.FROZEN LUX2,20M2",C - PISOS E REVESTIMENTOS,196.16569365958526,4118.4,2059.2,-90.5,0.5374402566016034,16.123207698048102,0.0,212.0
479113,TOALHA JG COSMOP.4PC   OFWH/TC 7285,"K - CAMA, MESA E BANHO",194.7916923435205,275.0,137.5,41.7,0.5336758694343028,16.010276083029083,0.0,211.0
483724,ESTANTE 0.57X0.95 PLS 4P          AZ,O - MOVEIS,194.25020406708333,327.0,163.5,18.8,0.5321923399098173,15.96577019729452,0.0,210.0
417901,PORTA-SHAMPOO REGISTRO PT       0008,U - METAIS E ACESSORIOS,193.68380365300987,575.0,287.5,-32.6,0.5306405579534517,15.91921673860355,56.0,210.0
444035,"PORCEL.C 90X90ESM.MUNARI BR AC1,63M2",C - PISOS E REVESTIMENTOS,193.3547892369337,319.47999999999996,159.73999999999998,21.0,0.5297391485943389,15.892174457830167,368.38,209.0
459072,TOALHA BNH SKY OFF WHITE         403,"K - CAMA, MESA E BANHO",193.04153828239754,959.0,479.5,-59.7,0.5288809268010891,15.866427804032673,121.0,209.0
475222,LUSTRE SILIC.      E27 VD CL. NE-710,I - ILUMINACAO,192.7850628489934,811.0,405.5,-52.5,0.5281782543808038,15.845347631424113,0.0,209.0
446526,"CER.A 54X54 FREMONT HD     P4 2,62M2",C - PISOS E REVESTIMENTOS,192.77639192633163,12028.42,6014.21,-96.8,0.5281544984283059,15.844634952849177,6028.628,209.0
408617,ARAND.AL.UNO GLD            1LP 3118,I - ILUMINACAO,192.70356955525386,262.0,131.0,47.1,0.5279549850828873,15.838649552486618,80.0,209.0
360931,"FONTE P/LED 12V 1,5 A 15W IP20  MBIV",I - ILUMINACAO,192.2990859167945,261.0,130.5,47.4,0.5268468107309439,15.805404321928316,256.0,208.0
390170,"LUMI.LED BALIZ. ESPETO 2,5W AM 18436",I - ILUMINACAO,190.92700836040746,481.0,240.5,-20.6,0.5230876941381026,15.692630824143079,146.0,207.0
451864,PIZZA JG 14PC            VM 6099/450,B - UTILIDADES DOMESTICAS,190.29062437473692,321.0,160.5,18.6,0.5213441763691422,15.640325291074266,406.0,206.0
320338,SUQUEIRA CRISTAL 2.0L TORN/PE   3793,B - UTILIDADES DOMESTICAS,190.11836482661883,554.0,277.0,-31.4,0.5208722324016954,15.626166972050864,1.0,206.0
464040,FRIGOBAR 67L MDRD108FGA012   BR M220,D - ELETROS,189.19620695549403,218.0,109.0,73.6,0.5183457724808056,15.550373174424168,88.0,205.0
186420,"ABRACAD.NYL. 2,5X200MM PT      100UN",E - MATERIAIS ELETRICOS,188.76378871627884,1208.0,604.0,-68.7,0.5171610649761064,15.514831949283192,611.0,204.0
463479,CAIXA TERMICA PLS 28.0L VD/MR 072825,"L - INFANTIL, LAZER E PETS",187.7746201640785,1522.0,761.0,-75.3,0.5144510141481603,15.43353042444481,26.0,203.0
310634,TAMPA P/INT.1M      SL4915NF PT LLIG,E - MATERIAIS ELETRICOS,187.19326126966857,703.0,351.5,-46.7,0.5128582500538865,15.385747501616596,154.0,203.0
456432,"PORCEL.A 19X90ESM.TANZA.CAN.EX1,54M2",C - PISOS E REVESTIMENTOS,185.37488874111034,774.62,387.31,-52.1,0.5078764075098914,15.236292225296742,6.16,201.0
437521,PERSIANA ROLO 120X140 TRANSLUC 865BR,V - DECORACAO,184.08992128059268,563.0,281.5,-34.6,0.5043559487139525,15.130678461418576,128.0,199.0
336471,"REVEST.A 30X90 CRISTALO AC    1,62M2",C - PISOS E REVESTIMENTOS,181.22528871060427,398.52,199.26,-9.1,0.4965076403030254,14.895229209090763,322.38,196.0
476730,TOALHA RST OLIMPO            VD 1066,"K - CAMA, MESA E BANHO",180.95516329199026,252.0,126.0,43.6,0.495767570662987,14.87302711988961,0.0,196.0
445699,TRAVESSA VID.21X12              1189,B - UTILIDADES DOMESTICAS,179.32580833234437,865.0,432.5,-58.5,0.49130358447217637,14.73910753416529,0.0,194.0
473521,"PORCEL.A 60X120 ESM.FROZEN SAT2,20M2",C - PISOS E REVESTIMENTOS,177.90116008172998,2497.0,1248.5,-85.8,0.48740043858008214,14.622013157402463,0.0,193.0
471483,FACA COZ.IX 8                  10903,B - UTILIDADES DOMESTICAS,177.44844414356191,527.0,263.5,-32.7,0.48616012094126554,14.584803628237966,567.0,192.0
445753,PRATO SMES.PORC.21CM SAFIRA   092411,B - UTILIDADES DOMESTICAS,177.12039855423814,718.0,359.0,-50.7,0.4852613659020223,14.55784097706067,731.0,192.0
476625,TOALHA BNH INF. MEOW            3739,"K - CAMA, MESA E BANHO",175.44572111728024,518.0,259.0,-32.3,0.48067320854049383,14.420196256214815,0.0,190.0
469708,CAPA P/CADEIRA TINTA   GEOMETRICO TR,V - DECORACAO,175.2203638937307,667.0,333.5,-47.5,0.48005579148967314,14.401673744690195,0.0,190.0
481976,COND.SPLIT COND 9000  HIQE09 INV.201,D - ELETROS,175.21121401958004,1967.0,983.5,-82.2,0.4800307233413152,14.400921700239456,0.0,190.0
481973,COND.SPLIT EVAP 9000  HIQI09 INV.201,D - ELETROS,174.6328508363953,1967.0,983.5,-82.2,0.47844616667505563,14.353385000251668,0.0,189.0
456166,PANELA PRESSAO ANTIAD.4.5L  VM 09741,B - UTILIDADES DOMESTICAS,174.08663820596388,279.0,139.5,24.8,0.47694969371496954,14.308490811449087,97.0,188.0
468736,MANTEIGUEIRA VID.17CM     MTGN016/TR,B - UTILIDADES DOMESTICAS,173.69900345780684,345.0,172.5,0.7,0.4758876807063201,14.276630421189603,0.0,188.0
479618,"REVEST.A 7X26 ANGRA OFF WH MES1,01M2",C - PISOS E REVESTIMENTOS,173.63268297563667,467.63,233.815,-25.7,0.47570598075516896,14.271179422655068,0.0,188.0
468910,TOALHA RST LUMINA    EUCALIPTO 40239,"K - CAMA, MESA E BANHO",173.4366232831196,771.0,385.5,-55.0,0.4751688309126564,14.255064927379692,68.0,188.0
457699,TOALHA BNH LUMINA IVORY/MR   3674976,"K - CAMA, MESA E BANHO",173.07339881111255,697.0,348.5,-50.3,0.4741736953729111,14.225210861187334,102.0,187.0
489208,CADEIRA SALA LINHO MAD 3285  BG 2564,O - MOVEIS,172.85961359758892,176.0,88.0,96.4,0.47358798245914774,14.207639473774432,0.0,187.0
437520,PERSIANA ROLO 120X140 TRANSLUC 864BG,V - DECORACAO,170.99061330361752,447.0,223.5,-23.5,0.46846743370854116,14.054023011256234,89.0,185.0
488763,ORGANIZADOR COLMEIA 35X10 BG OR67110,B - UTILIDADES DOMESTICAS,170.57352042792238,407.0,203.5,-16.2,0.4673247135011572,14.019741405034715,0.0,185.0
477948,FORMA GELO SILIC.19CM       VM FG-06,B - UTILIDADES DOMESTICAS,170.53284524914463,235.0,117.5,45.1,0.46721327465519075,14.016398239655722,0.0,185.0
421295,MESA LAT. 0.45X0.30 MDF        FD/CZ,O - MOVEIS,170.35674257211522,1342.0,671.0,-74.6,0.46673080156743896,14.001924047023168,8.0,184.0
343153,EXAUSTOR AMB.BANH.EXB 150MM  BR M127,D - ELETROS,170.3235528722777,452.0,226.0,-24.6,0.4666398708829526,13.99919612648858,1.0,184.0
475774,"PORCEL.A 74X74 ESM.KHAL.GR EXT1,62M2",C - PISOS E REVESTIMENTOS,169.99095242800198,162.0,81.0,109.9,0.4657286367890465,13.971859103671395,0.0,184.0
480240,FRIGIDEIRA IX.28CM C/IND.       6725,B - UTILIDADES DOMESTICAS,169.93003867371047,153.0,76.5,122.1,0.4655617497909876,13.966852493729627,0.0,184.0
466996,LENCOL CASAL C/ELAS MALHA BASIC   VD,"K - CAMA, MESA E BANHO",169.61209177002453,614.0,307.0,-44.8,0.4646906623836289,13.940719871508866,3.0,184.0
472420,XICARA CAFE PORC.65ML C/P      20090,B - UTILIDADES DOMESTICAS,169.43563134636415,1128.0,564.0,-70.0,0.46420720916812097,13.926216275043629,1428.0,183.0
469706,CAPA P/CADEIRA TINTA   GEOMETRICO BR,V - DECORACAO,169.28182601919224,688.0,344.0,-50.8,0.4637858247101157,13.91357474130347,0.0,183.0
436717,PRATELEIRA 0.60X0.20 MDF KIT 3PC  BR,O - MOVEIS,168.41207789015144,900.0,450.0,-62.6,0.46140295312370255,13.842088593711077,848.0,182.0
36164,CABIDE ROUPA INF.PLS.31CM 3PC RS 107,B - UTILIDADES DOMESTICAS,166.88143164402095,1048.0,524.0,-68.2,0.45720940176444097,13.716282052933229,227.0,181.0
473254,PRATO BOLO VID.C/PE 25CM       0216,B - UTILIDADES DOMESTICAS,166.06423937587223,1384.0,692.0,-76.0,0.4549705188380061,13.649115565140184,855.0,180.0
483685,LENCOL JG SOLT DPL 150F      AM 7680,"K - CAMA, MESA E BANHO",165.9238464644933,141.0,70.5,135.4,0.4545858807246392,13.637576421739176,0.0,180.0
467402,SERRA CIRC.BANC.10 1800W SST1801 220,M - MAQUINAS E MOTORES,164.96769024837647,243.0,121.5,35.8,0.4519662746530862,13.558988239592585,4.0,179.0
483023,TACA AGUA VID.JG6PC 300ML      03107,B - UTILIDADES DOMESTICAS,164.74659346708825,238.0,119.0,38.4,0.4513605300468171,13.540815901404512,0.0,178.0
489215,"FRITAD.ELET.   3,2 ESSENTIAL PT M127",D - ELETROS,163.99449346714474,309.0,154.5,6.1,0.4492999821017664,13.478999463052993,0.0,177.0
480510,MOEDOR PIMENTA/SAL MAD.21CM    13370,B - UTILIDADES DOMESTICAS,163.4634938845426,998.0,499.0,-67.2,0.44784518872477425,13.435355661743227,0.0,177.0
482261,"REVEST.A 7X26 ANGRA OCEAN MT  0,55M2",C - PISOS E REVESTIMENTOS,162.1780879518608,162.25,81.125,99.9,0.44432352863523505,13.329705859057052,0.0,176.0
403394,FITA LED 5M  IP20 10W/M  BR IR70 12V,I - ILUMINACAO,161.5098813601243,447.0,223.5,-27.7,0.44249282564417614,13.274784769325285,193.0,175.0
