CODIGO,DESCRICAO,NIVEL_1,motivo,receita,qtd_vendida
464238,TOALHA RST VERONA            VD 3429,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,5407.8150000000005,327.0
464240,PISO JACQUARD LOFT 60X50 CAMURCA 854,"K - CAMA, MESA E BANHO",Receita irrisoria + estoque parado,5425.455,289.0
463868,MESA ESCR.1.35X0.75            BR/NT,O - MOVEIS,Receita irrisoria + estoque parado,5467.665,7.0
261595,FILTRO REFIL CHUVEIRO PLS KDF   0007,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,5528.67,36.0
416510,DESCANSO PRATO/PAN.SILIC QUAD VM 485,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5546.1735,348.0
340105,GRELHA PLS RED.ESGO.BR 150    101150,H - TUBOS E CONEXOES,Receita irrisoria + estoque parado,5549.355,339.0
445903,CONECTOR RETO P/TRILHO   BR    18622,I - ILUMINACAO,Receita irrisoria + estoque parado,5581.38,364.0
421980,PRATO SMES.PORC.23CM SOLEIL B. 89841,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5581.905000000001,149.0
472395,XICARA CAFE PORC.65ML C/P 6PC  20086,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5591.04,112.0
451069,CANECA PLS 350ML            CH D 110,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5622.067500000001,778.0
445715,PRATO SMES.CER.19CM MEDITERR. 102959,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5631.423,311.0
384787,"CER.A 60X60 LONDINIA       P4 2,50M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,5635.087500000001,157.5
468638,BOMBA VACUO P/VINHO          VIN-006,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5644.0650000000005,137.0
471282,XICARA CAFE CER.65ML C/P 6PC   60935,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5661.705,119.0
437666,MODULO SAIDA FIO           LG20F POP,E - MATERIAIS ELETRICOS,Receita irrisoria + estoque parado,5748.8025,1302.0
472421,XICARA CAFE PORC.65ML C/P 6PC  20080,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5750.115000000001,137.0
367856,FACA CHURRASCO PLENUS 5  PT 23421105,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5752.635,295.0
384901,"PORCEL.A 60X60 ESM.CEMENT.GRI.2,15M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,5758.182675,113.95
425811,COND.SPLIT  9000 EVAP. 42TFCA09S5 81,D - ELETROS,Receita irrisoria + estoque parado,5784.765,11.0
445583,TACA VINHO CRIST.350ML 6PC     35323,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,5847.45,28.0
446697,BALCAO COZ. MDF CANTO FRJ/GRF 500341,O - MOVEIS,Receita irrisoria + estoque parado,5993.4,11.0
459234,PORTA-ESCOVA                CZ 16842,U - METAIS E ACESSORIOS,Receita irrisoria + estoque parado,6019.4400000000005,113.0
460486,COND.SPLIT 9000 EVAP  42TFQA Q/F 132,D - ELETROS,Receita irrisoria + estoque parado,6024.4695,9.0
432430,ARMARIO AEREO 0.80 1P  OFW3600001597,O - MOVEIS,Receita irrisoria + estoque parado,6173.58,30.0
61246,P.DETERGENTE PLS              BR 651,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6276.6900000000005,880.0
449384,ARMARIO AEREO 0.80 2P OFW3600001598,O - MOVEIS,Receita irrisoria + estoque parado,6279.0,21.0
472196,PRATO FUND.CER.21CM           061376,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6285.41025,642.0
421215,PANELEIRO 80CM 3P/1G       OFW001318,O - MOVEIS,Receita irrisoria + estoque parado,6298.425000000001,6.0
402795,XICARA CHA PORC.C/P SERENE ED02-4677,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6305.67,166.0
440179,JARRA VID.1.3L                 35637,B - UTILIDADES DOMESTICAS,Receita irrisoria + estoque parado,6313.030500000001,71.0
426271,"REVEST.A 30X90 WHITE HIGHW.MAT1,07M2",C - PISOS E REVESTIMENTOS,Receita irrisoria + estoque parado,6326.765550000001,56.71000000000001
444397,LIQUID.12V 1000W      LIQ415 BR M220,D - ELETROS,Receita irrisoria + estoque parado,6358.17,41.0
454789,ESCOVA SECADORA 1200W ES-04 VM  M127,D - ELETROS,Receita irrisoria + estoque parado,6403.635,33.0
