COD_EMPRESA,CODIGO,ESTOQUE_INICIAL,QTD_VENDIDA_TOTAL,VENDA_MEDIA_DIARIA,DIAS_COBERTURA_ESTOQUE_INICIAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
6,382897,794.64,777.84,1.0655342465753426,745.7667386609071,"PORCEL.A 58X58 EBR.LILLE BRANC1,68M2",C - PISOS E REVESTIMENTOS,Joao Pessoa,PB
93,452083,789.0,1486.0,2.0356164383561643,387.59757738896366,LAV.ROUPA 12.0KG CWH12BBB    BR M220,D - ELETROS,Alhandra,PB
3,300761,787.0,938.0,1.284931506849315,612.4840085287847,DUCHA OPTIMA          6800W 549 M220,U - METAIS E ACESSORIOS,Salvador,BA
3,471194,783.99,806.3100000000001,1.1045342465753425,709.7923875432526,"CER.A 68X68 CALLA HD       P4 2,79M2",C - PISOS E REVESTIMENTOS,Salvador,BA
3,459682,780.3,2499.0,3.4232876712328766,227.93877551020407,"PORCEL.A 20X120 ESM.TAVO.C.EXT1,70M2",C - PISOS E REVESTIMENTOS,Salvador,BA
5,348807,776.58,897.84,1.2299178082191782,631.4080459770115,"CER.A 46X46 PSI62650       P5 2,58M2",C - PISOS E REVESTIMENTOS,Aracaju,SE
92,178954,776.16,15.84,0.0216986301369863,35770.0,"PORCEL.A 60X60 POL.BIANCO PLS 1,44M2",C - PISOS E REVESTIMENTOS,Cabo De Santo Agostinho,PE
4,464396,769.0,582.0,0.7972602739726027,964.553264604811,SACO LIXO 100L ROLO       PT/25 4886,N - INDUSTRIAL E NEGOCIOS,Recife,PE
3,411805,769.0,720.0,0.9863013698630136,779.6805555555555,FACA SMESA (AV) SAVANNAH      SH1114,B - UTILIDADES DOMESTICAS,Salvador,BA
2,440532,765.0,942.0,1.2904109589041095,592.8343949044587,FRIGIDEIRA ANTIAD.03PC      PT 05725,B - UTILIDADES DOMESTICAS,Recife,PE
6,300761,759.0,1343.0,1.8397260273972602,412.5614296351452,DUCHA OPTIMA          6800W 549 M220,U - METAIS E ACESSORIOS,Joao Pessoa,PB
5,380586,756.84,761.08,1.0425753424657536,725.933147632312,"CER.A 60X60 CLAS.BRANCO RT P4 2,12M2",C - PISOS E REVESTIMENTOS,Aracaju,SE
4,149929,755.0,1356.0,1.8575342465753424,406.452802359882,TORNEIRA LAVA.MESA CR B.BX C77  1202,U - METAIS E ACESSORIOS,Recife,PE
2,471287,755.0,240.0,0.3287671232876712,2296.4583333333335,XICARA CAFE CER.65ML C/P       90806,B - UTILIDADES DOMESTICAS,Recife,PE
8,348807,753.36,1331.28,1.8236712328767124,413.1007751937984,"CER.A 46X46 PSI62650       P5 2,58M2",C - PISOS E REVESTIMENTOS,Caruaru,PE
3,466807,749.0,733.0,1.0041095890410958,745.9345156889495,TOALHA JG 2PC PIXEL CINTA ROSA  3364,"K - CAMA, MESA E BANHO",Salvador,BA
